;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;PC16;PC17;PC18;PC19;PC20
94;0.17776378471808732;-0.08380188533538027;0.09477199750153223;-0.003804947006051082;-0.05698860730115539;0.011927045229312785;-0.0004432667034314304;0.051515693592282176;-0.05848375869844356;-0.07808790600858845;0.07432177798994806;0.028513085810339997;0.0032688358161958343;0.025644899168727114;0.014165994442069282;0.0055147403847994655;0.041151521662077355;0.026674250988180645;0.027895645335318377;0.011372395522951044
95;-0.07704747286283258;0.08421933269752918;0.11648493398067214;-0.2800274917989871;0.10305850504633679;-0.060770468847183054;-0.00823621167933804;0.10048118436286031;0.10671663068680746;-0.07886332966522065;-0.09980074786284772;0.02594141267635941;-0.002110490152965369;-0.015180327893470812;0.04464253575810054;-0.017181188378067078;0.04789899923943949;-0.02250130538948354;-0.022845955751704915;0.04134447860599722
96;0.173629652072404;-0.07826191645774133;0.006478401497958199;-0.09479409146578165;0.036524960954773894;-0.0633617027775895;0.05318549830632074;-0.10688071639268365;-0.08959542024613897;-0.03304340448591932;-0.07774620795777609;-0.04219074484318358;0.012612827841809601;-0.05824554257643297;0.02296389314356244;0.0002680371369244011;-0.05922519989624858;-0.024011866496188753;-0.007231450124813479;-0.14323160352863284
97;0.17271683333330098;-0.10116254963100364;-0.04490517577173074;-0.09524652615348571;0.026295525870753914;-0.023318529359163884;0.047103040307107026;-0.07478166417806814;0.023743826771810066;-0.023282935419587113;-0.0596331754129648;-0.08113180684290226;0.022853778825815227;-0.04521507738097856;0.03481265225181546;-0.010118235959355262;-0.019372956021396597;-0.0015911872160506572;-0.0031581902763876957;0.01734976524038071
98;0.02166153099823773;0.01789433737203057;0.009927857842606167;0.06621549137687711;-0.03625170429033339;-0.0635782828212381;0.01041219385708493;-0.024672633309130505;0.09074875156245274;-0.003465316500464038;0.24432617660054892;0.07197601994099156;0.4484860116836241;0.3733461841904737;0.13224001206105127;-0.4717371610117236;-0.15225388473748175;-0.45717012742748003;-0.041039937982109496;0.061888553796055894
100;0.11273867984753047;0.1335825138988485;-0.1562755627356387;-0.020080360946141386;-0.04241257553026811;-0.002930341184208227;-0.05255228123481481;0.1539437185198038;0.10153882177174031;0.06694931746640174;-0.10885217696619826;0.0569807050624256;0.008256947464844878;0.11532370557770018;-0.2108764449134482;0.04178533177421671;0.006139433714432832;-0.018175217876843175;0.03680217731915427;-0.06473363230439022
101;0.12330150251209289;0.15370385632447314;-0.13847816338685667;-0.02216155801227989;-0.031064741338710632;-0.0021717253077385814;-0.027597192403052376;0.12228537688608357;0.07389206806692981;0.06847819153191892;-0.05579972898561956;0.05803430980035871;0.040166788912685096;0.05480975313777222;-0.11827453038003122;0.03242469095183973;-0.024558859889821583;0.01568553527943137;0.002437641874046331;-0.018638150323927006
102;-0.1112811195005081;-0.18236396523074375;0.05914672381621896;0.024646267559995848;-0.010102570460728226;0.005815826306697648;-0.052623000218603555;-0.03730643231661873;0.025023706405179286;-0.050153435840753;-0.0875812051376535;-0.02513166798025516;-0.12022128219042547;0.10076788318908989;-0.10144565707930843;-0.016126880996440753;0.10990213101002601;-0.10107952929325066;0.08812920486031123;-0.03814088162743844
103;0.13100481070759276;0.15994192706235663;-0.09167461471216695;-0.032011141648825264;-0.022639935079461312;-0.007466960087221648;0.022189405952767492;0.023217276066481086;0.021678753743462512;0.06991224297356144;0.04680152433265705;0.046763356331527804;0.127076909173547;-0.08137567943538714;0.06727482369686758;0.03877104230855626;-0.05165345636028354;0.08282094857747775;-0.07973113292063796;0.10721507649973819
104;0.07782225705906387;0.17867663749686222;-0.059610550570700506;-0.04718526097739938;0.04807800724278056;-0.14459109768022907;0.00222119410941373;-0.1213183462593298;-0.009136346959653386;-0.09980365812490978;0.017794042667939235;-0.1218495134958639;-0.12443599048956488;0.008952563661880797;-0.0008445327474352338;-0.04365272888776149;0.06921536875711776;-0.15533127493623264;0.0278095726405308;0.29460129896537635
105;-0.00016391404636998308;-0.04737470301980725;0.06165375538629688;0.2017011082238024;0.2219806413438679;-0.20272022960374497;0.11010752903145857;0.09020025765757782;0.10877714622862553;-0.12093299376265801;-0.11781394770113184;-0.16107114625375446;-0.025656696991929934;-0.03887187426331473;-0.09356874673718611;0.13516970996818145;-0.060983813482965527;0.040899326069885354;-0.25185234350661584;0.09968071981085032
106;0.12684667416324688;0.07409241578836771;0.02411497311968932;0.16457544623451634;0.14598961584504236;-0.07855400085545047;0.041153565747559434;0.1514698884653851;0.06664494327318018;0.12083623220569123;0.002433156222386488;0.19274345967999976;-0.13872584711206182;-0.07586882430642818;0.06554314880028479;-0.11091056659426805;-0.039812905553367375;-0.09259252387757153;0.10161336173379648;-0.14041618721618151
107;0.10305405545240454;0.10317562050897529;0.0030494626810516935;0.1210898157730345;0.1665747893535638;-0.2222703020908604;0.10818124518716771;-0.04750655571973436;0.05375060437053489;-0.07428737368903562;-0.09821831128205104;-0.02921308696397469;-0.15397339125087225;-0.12490226263075092;0.04005536900863871;-0.04476640680591708;-0.0226615385376506;-0.17519329896673508;-0.07084484412432471;0.14845934988151543
108;0.014731694598606009;0.08098747313854943;0.0422897840941392;0.020385318357535587;-0.08656099452409843;0.04627390774170583;0.23056379853220998;-0.035937280303044924;0.16467874491843087;0.3838157080917275;0.11218814584720636;0.08953022540652214;-0.13972362977843583;-0.3130505469794035;0.1253111809622807;0.11839998429290224;-0.12648568731984733;0.009895009503575032;-0.00975340075009612;0.09383045346061035
110;0.05455800308249193;-0.023863516535948162;0.07569046552421127;0.2557031488343464;0.2706432346325599;-0.0824130954619251;0.004793184257648053;0.20119705796279427;-0.01031564337217437;-0.037571106844221325;-0.031850602621887956;-0.04476830245464957;0.05869064088877429;0.051730056586764925;0.007213848426237526;-0.02248325793915157;0.027736423413522393;0.08640994588402888;-0.07227522593613112;-0.11112222466747018
