;1;2;3;4;5;6;7;8;15;16;22;23;25;26;28;29;30;32;33;34;35;44;45;46;47;48;49;55;60;61;62;65;66;67;68;69;70;71;72;75;76;79;82;83;85;86;87;88;89;90;91;92;93;94;95;96;97;98;100;101;102;103;104;105;106;107;108;110;111;112;113;114;115;117;118;119;120;121;122;123;124;125;126;127
26;22.0;243.0;11.0;40.0;1.0;500.0;120.0;400.0;86000.0;133.7;1212.5;3.46;350.0;350.0;20.0;0.0;1256.6;0.7181;2.992;400.0;2.0;6.0;2.0;56.5;2.0;125.0;0.31;1.21;23.63;0.0;18.9;0.0;2.29;0.0969;0.1216;0.1216;0.0638;2.06;1.33;148.5;149.83;606.0;320.0;0.0638;180.06;0.1244;0.2005;0.906;400.0;0.134;0.933;327.0;0.933;327.0;0.1134;164.12;135.36;1.1;0.06;14.63;3.83;0.24;0.82;3.14;17.66;0.56;0.57;1.0;1.0;1.0;0.0;1.0;0.0;19.8;24.9;20.9;22.5;33.07;50.67;83.73;165.33;0.506;83.73;1773.0
27;23.0;245.0;12.0;41.0;1.0;500.0;120.0;400.0;86000.0;133.7;1212.5;3.46;350.0;350.0;20.0;0.0;1256.6;0.7181;2.992;655.0;3.28;8.0;2.0;100.5;2.0;160.0;0.4;2.51;29.43;0.0;23.54;0.0;2.72;0.0923;0.1598;0.1598;0.1067;2.06;1.33;227.5;228.83;606.0;480.0;0.1067;275.84;0.153;0.253;0.882;655.0;0.181;0.909;318.0;0.909;318.0;0.1453;261.99;216.08;1.05;0.11;19.07;2.89;0.31;0.82;2.37;22.88;0.57;0.74;1.0;1.0;1.0;0.0;1.0;0.0;25.6;31.0;27.0;28.6;37.29;105.56;142.85;186.46;0.766;142.85;1593.0
28;24.0;246.0;12.0;42.0;1.0;500.0;120.0;400.0;86000.0;133.7;1212.5;3.46;350.0;350.0;20.0;0.0;1256.6;0.7181;2.992;655.0;3.28;8.0;2.0;100.5;2.0;125.0;0.31;3.22;18.56;0.0;14.85;0.0;1.88;0.1013;0.2534;0.2534;0.2166;2.06;1.33;222.5;223.83;606.0;480.0;0.2166;269.78;0.2373;0.4133;0.926;655.0;0.274;0.863;302.0;0.863;302.0;0.2187;248.66;205.08;1.08;0.22;27.74;1.9;0.41;1.0;1.91;27.66;0.8;1.06;0.0;1.0;0.0;0.0;0.0;0.0;14.8;19.5;15.5;17.1;28.88;135.11;163.99;144.4;1136.0;144.4;1541.0
29;25.0;247.0;13.0;112.0;1.0;220.0;180.0;500.0;100000.0;241.7;1500.0;3.33;450.0;450.0;25.0;0.0;2945.2;2.975;3.6361;532.0;2.66;8.0;2.0;100.5;2.0;100.0;0.2;2.87;66.5;1.0;53.2;0.0;4.51;0.0678;0.238;0.238;0.054;2.4;1.8;427.0;428.8;750.0;514.0;0.054;640.5;0.2162;0.1183;0.734;532.0;0.324;0.838;377.0;0.838;377.0;0.1994;590.78;393.85;1.08;0.05;13.43;4.19;0.23;0.52;2.19;24.53;0.25;0.54;1.0;1.0;1.0;0.0;1.0;0.0;62.7;70.0;66.0;67.6;110.61;232.53;343.14;553.06;0.62;343.14;1244.0
30;26.0;248.0;14.0;61.0;1.0;400.0;80.0;500.0;104000.0;250.0;1500.0;3.19;470.0;470.0;20.0;0.0;3581.4;1.905;9.525;500.0;2.5;6.0;2.0;56.5;2.0;100.0;0.2;3.89;27.55;1.0;22.04;0.0;2.58;0.0937;0.3457;0.3457;0.1764;2.5;3.74;334.0;337.74;750.0;0.0;0.0;501.0;0.2058;0.4651;0.89;343.0;0.267;0.867;407.0;0.806;379.0;0.2786;678.12;452.08;0.74;0.18;24.83;2.16;0.38;1.22;0.0;0.0;0.0;0.19;0.0;0.0;0.0;0.0;0.0;0.0;23.8;29.0;25.0;26.6;32.21;146.18;178.39;161.04;1108.0;161.04;2074.0
31;27.0;249.0;14.0;62.0;1.0;400.0;80.0;500.0;104000.0;250.0;1450.0;3.09;470.0;470.0;20.0;0.0;3581.4;1.905;9.525;500.0;2.5;6.0;2.0;56.5;2.0;100.0;0.2;3.89;27.55;1.0;22.04;0.0;2.58;0.0937;0.3457;0.3457;0.1764;2.5;1.93;349.0;350.93;725.0;0.0;0.0;506.05;0.2079;0.4869;0.89;348.0;0.27;0.865;407.0;0.806;379.0;0.2786;678.12;467.67;0.75;0.18;24.83;2.16;0.38;1.28;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;23.8;29.0;25.0;26.6;32.21;146.18;178.39;161.04;1108.0;161.04;2167.0
32;28.0;260.0;15.0;0.0;0.0;304.8;304.8;609.6;185806.0;304.8;1670.1;3.1;538.7;538.7;32.3;0.0;4086.3;2.4885;2.4885;524.8;2.62;6.4;2.0;63.3;2.0;133.4;0.22;0.75;34.59;1.0;27.67;0.0;3.07;0.0888;0.3775;0.3775;0.027;4.46;5.76;344.26;344.26;835.0;0.0;0.0;574.93;0.1879;0.0865;0.862;298.0;0.249;0.875;472.0;0.781;421.0;0.2948;902.25;540.25;0.64;0.03;9.46;6.0;0.16;0.53;0.0;0.0;0.0;0.41;0.0;1.0;0.0;0.0;0.0;0.0;30.8;36.4;32.4;34.0;159.06;122.65;281.71;795.3;0.354;281.71;1222.0
33;29.0;261.0;15.0;4.0;0.0;304.8;304.8;609.6;185806.0;304.8;1670.1;3.1;538.7;538.7;32.3;0.0;4086.3;2.4885;2.4885;524.8;2.62;6.4;2.0;63.3;2.0;266.7;0.44;0.37;34.59;1.0;27.67;0.0;3.07;0.0888;0.3775;0.3775;0.0135;4.46;5.76;228.16;228.16;835.0;0.0;0.0;381.04;0.1245;0.0545;0.862;188.0;0.157;0.922;496.0;0.781;421.0;0.2948;902.25;540.25;0.42;0.01;6.67;8.55;0.12;0.47;0.0;0.0;0.0;0.27;0.0;1.0;0.0;0.0;0.0;0.0;30.8;36.4;32.4;34.0;159.06;61.32;220.39;795.3;0.277;220.39;1035.0
34;30.0;264.0;15.0;18.0;0.0;304.8;304.8;609.6;185806.0;304.8;1670.1;3.1;538.7;538.7;32.3;0.0;4086.3;2.4885;2.4885;524.8;2.62;6.4;2.0;63.3;2.0;133.4;0.22;0.75;53.07;1.0;42.46;0.0;4.16;0.0784;0.2461;0.2461;0.0176;4.46;5.76;388.29;388.29;835.0;0.0;0.0;648.46;0.1381;0.0617;0.788;326.0;0.194;0.903;486.0;0.844;455.0;0.2077;974.9;583.75;0.67;0.02;7.62;7.47;0.13;0.47;0.0;0.0;0.0;0.33;0.0;1.0;0.0;0.0;0.0;0.0;49.3;55.9;51.9;53.5;199.42;122.65;322.06;997.08;0.323;322.06;1206.0
35;33.0;359.0;17.0;75.0;1.0;250.0;250.0;350.0;87500.0;175.0;730.0;2.5;292.0;292.0;36.0;0.0;2046.0;2.8027;2.8027;452.0;2.26;4.9;2.0;38.3;0.0;100.0;0.29;0.87;58.51;1.0;46.81;0.0;4.31;0.0736;0.2165;0.2165;0.0186;2.1;1.31;228.3;229.61;355.0;0.0;0.0;166.66;0.1336;0.074;0.766;309.0;0.193;0.903;264.0;0.859;251.0;0.1859;231.87;317.64;0.72;0.02;7.85;7.26;0.14;0.55;0.0;0.0;0.0;0.29;0.0;1.0;0.0;0.0;0.0;0.0;54.7;61.6;57.6;59.2;93.28;63.69;156.97;466.41;0.337;156.97;1454.0
